"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2025-08-12"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025"
,"Eggs in shell 8","1.55","1.55","1.45","1.54","1.54","1.54","1.54","1.54","1.54","1.54","1.54","1.54","1.55","1.55","1.59","1.59","1.59","1.59","1.59","1.59","1.59","1.69","1.69","1.69","1.69","1.74","1.76","1.76","1.76","1.76","1.76","1.76","1.76","1.79","1.80","1.80","1.98","1.98","1.98","2.02","2.02","2.02","2.02","2.02","2.07","2.07","2.07","2.07","2.06","2.06","2.06","2.04","2.04","1.92","1.92","1.92","1.92","2.01","2.01","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.04"
"Ontario",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wheat (except durum wheat) 3","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","281.39","272.35","257.02","244.78","252.14","274.75","251.02","282.02","276.47","273.56","279.00","286.54","278.90","284.55","252.28","252.42","259.36","282.45","277.81","277.08","296.92","268.39","305.38","322.36","319.55","325.02","301.24","326.32","370.46","361.35","416.79","425.51","445.75","378.48","427.26","430.51","566.57","490.16","405.48","393.88","385.35","390.55","371.14","383.95","418.03","372.26","381.99","394.84","360.61","359.38","340.56","326.04","352.16","365.71","338.10","362.35","342.18","341.60","364.36","340.78","339.24","327.06","299.39","287.85","262.36","282.58","285.04","302.98","298.20","296.33","318.49","345.34","319.69"
,"Barley 4 5","257.88","264.09","234.65","237.42","244.25","257.89","237.15","257.37","267.69","256.31","258.98","255.56","236.74","230.85","214.80","209.85","211.50","240.55","240.18","254.84","262.76","244.60","261.71","269.43","282.26","296.32","287.48","302.93","314.34","345.22","330.82","385.56","370.42","369.39","370.41","387.03","390.00","371.63","342.30","336.57","343.20","384.23","370.44","371.22","359.13","374.82","347.04","364.89","360.99","308.46","299.92","283.27","304.59","337.41","327.08","314.98","316.08","334.37","308.00","324.81","289.74","271.41","238.33","246.15","290.31","291.43","237.42","256.05","259.25","250.99","233.74","250.46","256.88"
,"Soybeans","428.36","432.76","425.04","422.81","431.22","431.09","431.77","438.81","440.42","446.25","450.22","450.12","446.87","453.64","453.02","460.44","472.46","499.00","513.37","527.13","573.63","585.89","604.53","619.16","614.80","618.98","639.55","544.02","543.44","561.54","585.80","605.78","686.21","698.87","721.14","746.79","745.51","748.20","743.91","663.73","664.52","700.26","715.60","714.42","748.66","750.91","748.09","721.32","722.01","722.91","715.32","659.91","634.46","644.58","642.33","623.49","594.92","586.37","594.27","598.36","602.15","590.58","553.92","526.16","503.27","497.15","506.20","515.35","531.68","525.00","532.29","525.04","522.15"
,"Corn for grain","214.38","222.48","225.90","228.26","221.48","205.80","206.11","208.90","213.59","217.37","211.72","211.95","207.72","208.57","206.61","214.54","206.64","208.53","218.78","231.56","252.93","245.51","255.51","261.63","265.45","285.91","304.71","305.97","254.89","256.30","270.41","278.14","295.48","307.31","316.10","333.32","331.36","334.08","334.35","341.54","318.61","336.50","318.22","324.21","333.38","328.58","326.24","313.54","306.94","302.38","290.92","285.05","284.82","247.90","240.07","234.61","223.71","223.71","225.94","227.74","233.73","228.41","223.00","224.37","220.11","214.62","224.07","234.98","246.32","249.35","253.42","256.80","252.03"
,"Canola (including rapeseed)","441.57","456.64","449.19","447.25","450.00","440.67","453.27","453.00","462.00","453.00","451.14","451.32","440.33","482.69","484.52","486.87","495.70","482.20","514.73","556.73","567.69","671.09","718.07","775.64","781.00","731.60","836.00","713.31","729.00","906.00","992.04","830.10","851.16","819.00","1,038.18","1,113.00","1,004.72","775.58","813.00","800.00","801.52","850.88","804.08","884.98","833.33","814.43","788.49","708.51","724.20","785.07","771.04","722.52","758.34","725.84","708.30","654.67","643.58","580.25","604.59","600.49","572.00","643.16","600.30","575.54","575.29","572.80","598.08","615.39","575.51","609.00","589.85","612.12","633.76"
,,"Dollars per kilogram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chickens for meat 6 7","2.05","2.02","2.08","2.09","2.13","2.13","2.15","2.10","2.10","2.09","2.11","2.16","2.13","2.12","2.11","2.07","2.09","2.09","2.15","2.21","2.24","2.29","2.40","2.45","2.45","2.42","2.51","2.50","2.45","2.47","2.44","2.48","2.45","2.48","2.53","2.65","2.70","2.77","2.78","2.80","2.81","2.82","2.85","2.85","2.83","2.81","2.83","2.85","2.80","2.79","2.71","2.69","2.69","2.67","2.69","2.73","2.77","2.72","2.69","2.67","2.65","2.67","2.68","2.70","2.68","2.69","2.69","2.64","2.68","2.71","2.71","2.74","2.70"
,,"Dollars per dozen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Eggs in shell 8","1.52","1.52","1.42","1.52","1.52","1.52","1.52","1.52","1.52","1.52","1.52","1.52","1.52","1.52","1.62","1.62","1.62","1.62","1.62","1.62","1.62","1.71","1.71","1.71","1.71","1.77","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.82","1.83","1.83","2.06","2.06","2.02","2.06","2.06","2.06","2.06","2.06","2.09","2.08","2.08","2.08","2.09","2.09","2.09","2.09","2.09","1.97","1.97","2.05","2.04","2.12","2.04","2.04","2.04","2.04","2.04","2.04","2.04","2.04","2.04","2.04","2.04","2.04","2.04","2.04","2.05"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Commodity prices are collected at point of first transaction, where fees deducted before a producer is paid are excluded (for example, storage, transportation and administration costs), but any bonuses and premiums that can be attributed to specific commodities are included. Commodity-specific program payments are not included in the price."
2,"Commodity names have been adjusted to align with the <a href="http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1196978">Variant of North American Product Classification System (NAPCS) Canada 2017 Version 2.0 - Agricultural goods</a>."
3,"Wheat (except durum wheat) prices include the weighted average prices of milling and other wheat (except durum wheat). Wheat (except durum wheat), other includes wheat used for animal feed, as well as for the production of ethanol."
4,"For Manitoba, Saskatchewan, Alberta and British Columbia, prior to the 2012-2013 crop year, barley prices included only non-board barley."
5,"Barley prices include the weighted average prices of barley for animal feed and barley for malt and other human consumption."
6,"Chicken prices include the weighted average prices of both broilers and heavier birds."
7,"Eviscerated weight prices."
8,"Data on eggs in shell contain data on specialty eggs in British Columbia starting with the January 2017 reference period. Specialty eggs include free-run, free-range and organic eggs."



"How to cite: Statistics Canada. Table 32-10-0077-01  Farm product prices, crops and livestock"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210007701
